radar_rcs_dbsm,radar_alt_m,radar_speed_mps,radar_closing_kmpm,radar_range_km,radar_wind_align,mdop_detected,rf_present,rf_class,truth,threat_level,group_id,rf_class_commercial,rf_class_custom_encrypted,pre_classified,pre_reason,stage1_threat_level,stage2_predicted_threat
-7.370943349757095,870.8642691721548,19.624448600566758,0.9668005843416871,4.59,0.9999998884723353,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
-7.1650574537426,868.7207433860387,19.971520023427264,3.0246004010729255,4.5,0.9999999628241092,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
-7.3077304659983255,867.3235903169049,10.054584955930617,-1.377719771328394,4.55,0.9999999721180816,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
-6.945706784695295,865.6218040359105,6.9004661125159625,-0.43268370884032237,4.56,0.9999999776944652,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
-6.583683103392264,866.2401625857293,6.364812251140317,-0.5500033170395024,4.58,0.9999999814120543,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
-6.461014302289127,866.7818764513171,6.199660002593132,0.05857727049386696,4.58,0.9999999840674747,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
-6.583683103392264,866.2401625857293,6.78865315555798,-1.2086092964623507,4.62,0.9999999860590406,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
-6.945706784695295,865.0800901703227,4.119057100331548,-1.3080194595156414,4.66,0.9999999876080362,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
-7.3077304659983255,866.2401625857293,4.796895795400108,3.05599662748838,4.56,0.9999999888472326,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
-7.5495226563560385,867.3235903169049,5.368144639397793,2.2404238793541165,4.57,0.9999999907060271,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
-7.639136824494675,867.3235903169049,6.9485784678997495,-0.09415211398525081,4.58,0.9999999920337372,0,0,none,balloon,LOW,s42_T00,0,0,True,로터 마이크로도플러 및 RF 방사 미검출 -> 능동 추진/통신 신호 없음 -> 규칙 기반 LOW 확정,LOW,LOW
